"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Oxct1",0.626616486983404,-0.332960542951776,0.264,0.22,1
"Iqgap2",0.630923575398148,-0.353934677230447,0.205,0.174,1
"Acat1",0.632471554227134,-0.24153265037718,0.215,0.184,1
"Selenos",0.637054128425843,-0.260012941890883,0.538,0.446,1
"Rpp21",0.647445410308656,-0.448010726945908,0.209,0.176,1
"Vapa",0.647562898989364,-0.255057165673124,0.505,0.413,1
"Atp6ap2",0.648585183955232,-0.360957675758929,0.475,0.368,1
"Arid1a",0.65074979657723,-0.432551116693837,0.282,0.233,1
"Ergic3",0.656092233597994,-0.406699396194946,0.283,0.232,1
"Cd2ap",0.657961223713489,-0.299914065263353,0.419,0.335,1
"Zcchc7",0.659351198934999,-0.553881688377867,0.219,0.184,1
"Tulp4",0.660434778338165,-0.346676932877481,0.219,0.186,1
"Ppp3ca",0.665443805497046,-0.244829673332532,0.341,0.286,1
"AC149090.1",0.667577297977455,-0.354417679303849,0.221,0.19,1
"Lamtor4",0.667650816087734,-0.205709092330119,0.559,0.458,1
"Pnn",0.669557042530554,-0.233238518418858,0.296,0.251,1
"Tmem205",0.674495728291155,-0.31200574822815,0.167,0.144,1
"Asxl2",0.674831499882304,-0.29550247340899,0.168,0.147,1
"Trmt112",0.677356840942305,-0.307378216288018,0.446,0.371,1
"Ech1",0.680615098415346,-0.471543621043753,0.243,0.216,1
"Senp6",0.681841561060718,-0.393486195959901,0.245,0.21,1
"Srek1",0.684322507726317,-0.460108192430246,0.175,0.15,1
"Hfe",0.689310246361645,-0.388818216837342,0.285,0.253,1
"Polr1d",0.6938143350215,-0.253703189900322,0.543,0.416,1
"Rab18",0.694941449689327,-0.329666444147562,0.294,0.241,1
"C5ar1",0.699195386991466,-0.546796677679129,0.228,0.214,1
"Mia3",0.699939728467172,-0.502520657672815,0.265,0.22,1
"Cox20",0.700143523978636,-0.389431539658403,0.193,0.182,1
"St13",0.701526091681385,-0.384747250147062,0.371,0.31,1
"Apc",0.702299706555189,-0.542540268616417,0.184,0.172,1
"Smarcc2",0.707169374776045,-0.441869675172915,0.191,0.165,1
"Dynlt3",0.708308763903049,-0.422544492050026,0.176,0.167,1
"Pcf11",0.709815071641972,-0.322852090284789,0.251,0.213,1
"Cct6a",0.710940252411639,-0.313617425217869,0.326,0.268,1
"Hprt",0.710995971201894,-0.283558744461916,0.369,0.319,1
"P2ry6",0.712008035936754,-0.299804766491128,0.329,0.289,1
"Pkig",0.712688678464593,-0.318951535558191,0.322,0.267,1
"Dynlrb1",0.714514325968998,-0.213456358858139,0.432,0.348,1
"Ube2e3",0.714794425751838,-0.484378837114599,0.23,0.206,1
"Gpcpd1",0.719050153729951,-0.298101038543361,0.227,0.196,1
"Pcmt1",0.723393913374634,-0.526589238776015,0.225,0.204,1
"Nrp1",0.727295128007601,-0.392170743633657,0.329,0.291,1
"Specc1",0.728635253669628,-0.317832800461828,0.164,0.146,1
"Oip5os1",0.735874485786892,-0.37206366401818,0.255,0.218,1
"Eef1d",0.73677399946893,-0.265329052515866,0.56,0.45,1
"Arid4b",0.736956126464444,-0.352058512818298,0.236,0.204,1
"Cd300a",0.738191011763653,-0.352432641841948,0.364,0.314,1
"Tasor",0.73904825446565,-0.488315230343419,0.183,0.172,1
"Smc1a",0.739671841364627,-0.298413418341909,0.386,0.316,1
"Snhg3",0.742111026159389,-0.323528274771514,0.171,0.149,1
"Vps13c",0.743646194306108,-0.423633007645299,0.154,0.147,1
"Arpc5l",0.746791686390568,-0.369137880251562,0.245,0.21,1
"Hint2",0.747023913537996,-0.323376962698066,0.179,0.169,1
"Mettl23",0.748208176345806,-0.328225343724822,0.184,0.163,1
"Zfp91",0.748568377935255,-0.321172913782424,0.514,0.413,1
"Etfb",0.752575430770549,-0.218964515082383,0.328,0.272,1
"Srpk2",0.760999652211042,-0.46423684259314,0.155,0.148,1
"Herc1",0.76125235203087,-0.350281930650019,0.195,0.17,1
"Add1",0.762096962693279,-0.33399988601622,0.174,0.165,1
"Mpc2",0.768296032550555,-0.29337426537733,0.399,0.334,1
"Scaf11",0.768504368648626,-0.367444248674976,0.424,0.353,1
"Phf3",0.769184281203241,-0.412220983702515,0.272,0.242,1
"Smarcc1",0.772992514758403,-0.383915390674359,0.189,0.165,1
"Lsm6",0.774240687506769,-0.257787431126103,0.285,0.242,1
"Cltc",0.776000083645986,-0.239557312008766,0.687,0.538,1
"Mrps21",0.781307924929545,-0.268012188915243,0.396,0.314,1
"Yipf3",0.784019241643632,-0.421579970639089,0.163,0.143,1
"Ccpg1",0.786036349112101,-0.409646475168487,0.196,0.184,1
"Zranb1",0.7950820774116,-0.501689548661117,0.15,0.133,1
"Bcas2",0.808631098543982,-0.35504225354784,0.261,0.221,1
"Rnf13",0.808684540511508,-0.272729355894107,0.258,0.234,1
"Uqcrfs1",0.808713245479714,-0.36559870362344,0.383,0.303,1
"Ndufa5",0.810439919706941,-0.362961362701107,0.392,0.327,1
"Ndfip2",0.812021322483582,-0.471376026084336,0.193,0.169,1
"Zranb2",0.816761267841785,-0.447133397475394,0.302,0.25,1
"Herc2",0.817189028576212,-0.424198448228265,0.161,0.151,1
"Bnip3l",0.817480367501717,-0.433914881135607,0.302,0.262,1
"Gltp",0.822460205841238,-0.295133834597228,0.366,0.31,1
"Pid1",0.825455816227,-0.336453267167696,0.354,0.31,1
"Acbd6",0.82632330139658,-0.351587364302606,0.166,0.148,1
"Bmpr2",0.828258069237174,-0.466286295416634,0.172,0.153,1
"Ifi27",0.829598870947144,-0.29242675787608,0.209,0.185,1
"Naxd",0.830970028991974,-0.472721994647027,0.159,0.14,1
"Ccni",0.835604734608338,-0.359705204023539,0.255,0.23,1
"Ubtf",0.837038966072585,-0.296668879746235,0.255,0.229,1
"Srsf7",0.839179716888034,-0.296641220116079,0.597,0.444,1
"Tpd52l2",0.843765512016838,-0.480021461158885,0.214,0.193,1
"Pura",0.844414376638179,-0.412093775354502,0.317,0.273,1
"Atraid",0.844504222345036,-0.410903950969975,0.303,0.258,1
"Ndufc1",0.846983356656509,-0.38829225556179,0.43,0.353,1
"Ctsl",0.846992965138839,-0.29434554727632,0.509,0.441,1
"Cat",0.851433805620168,-0.451544027894811,0.155,0.143,1
"Mrps36",0.851626846136342,-0.200372251077766,0.205,0.188,1
"Hltf",0.855610700269375,-0.42298483989809,0.175,0.154,1
"Kmt5a",0.859485063818603,-0.39160074987785,0.181,0.167,1
"Adh5",0.859840464539129,-0.387583396881479,0.232,0.2,1
"Pilra",0.864684682983872,-0.297927841395773,0.192,0.173,1
"Dhrs7",0.865819656192338,-0.406269323403159,0.164,0.148,1
