"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Ier3",1.37284611362675e-247,1.14559012549797,0.496,0.321,3.44982499893266e-243,"Ier3"
"Rbms1",9.84007724041906e-246,0.636124157948199,0.425,0.39,2.47271300974491e-241,"Rbms1"
"Irf2",4.10065081121336e-245,0.672772637428611,0.403,0.361,1.03045254234981e-240,"Irf2"
"Lamp2",2.54843709431632e-242,0.544568807224575,0.422,0.428,6.40396757430747e-238,"Lamp2"
"Serp1",8.3317855192512e-235,0.688341070360366,0.458,0.398,2.09369438313263e-230,"Serp1"
"Bnip3l",1.8837451629712e-233,0.70598234181487,0.39,0.331,4.73366322003032e-229,"Bnip3l"
"Lars2",1.63125054664245e-232,0.618808366711319,0.639,0.509,4.09916949865781e-228,"Lars2"
"Efhd2",4.88864629935048e-230,0.959069459082021,0.406,0.238,1.22846792856378e-225,"Efhd2"
"Clk1",4.44245240741152e-227,0.518772900800961,0.527,0.516,1.11634386545844e-222,"Clk1"
"Atp6v1e1",7.65339443786808e-220,0.507355604501085,0.519,0.489,1.92322148829187e-215,"Atp6v1e1"
"H2afj",5.01742879136031e-215,0.624925482111047,0.534,0.468,1.26082968098093e-210,"H2afj"
"Ccdc12",3.29981870644923e-210,0.574579930696725,0.369,0.349,8.29211442743626e-206,"Ccdc12"
"Ier5",8.36213525072237e-210,0.80179723155328,0.45,0.352,2.10132096715402e-205,"Ier5"
"Ypel3",3.03819344837588e-205,0.614160524630036,0.53,0.467,7.63467631642375e-201,"Ypel3"
"Clic1",1.91313146736358e-201,0.502595941158724,0.734,0.662,4.80750806433793e-197,"Clic1"
"Tnfaip8",3.2485051867319e-201,0.951484002240349,0.361,0.245,8.16316868373859e-197,"Tnfaip8"
"Tpm4",1.91565739407678e-197,0.689844741015501,0.398,0.348,4.81385546557553e-193,"Tpm4"
"Tnrc6b",3.08873324262286e-193,0.527772936434157,0.403,0.386,7.761677765387e-189,"Tnrc6b"
"Socs3",1.13256894555642e-185,0.787970927063057,0.353,0.318,2.84603250328874e-181,"Socs3"
"Pten",3.62610137806553e-175,0.554191527385076,0.417,0.384,9.11203015294086e-171,"Pten"
"Marcks",3.25102329315744e-155,0.605491212640223,0.404,0.378,8.16949643337534e-151,"Marcks"
"Ppp3ca",1.17585523609641e-149,0.538025451560015,0.409,0.362,2.95480662278668e-145,"Ppp3ca"
"Ptpn18",7.93510490007372e-117,0.51461734629868,0.478,0.338,1.99401251033952e-112,"Ptpn18"
"Abracl",9.60287948968591e-106,0.572316043823384,0.37,0.305,2.41310758696317e-101,"Abracl"
