"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp6v1b12",4.57824885245228e-29,3.30646444765664,0.468,0.043,1.15046815413273e-24,"19","Atp6v1b1"
"Ldhb4",4.6140855016192e-29,1.86040682357348,0.886,0.439,1.15947354570189e-24,"19","Ldhb"
"Cxcl122",9.4519937929943e-29,0.629288522814139,0.43,0.073,2.37519152024154e-24,"19","Cxcl12"
"Cyb5b",1.02045513712325e-28,2.65965593101743,0.658,0.137,2.56430171407701e-24,"19","Cyb5b"
"Mt13",1.12069471856255e-28,1.47658118981826,0.975,0.742,2.81619375827584e-24,"19","Mt1"
"Cdh23",1.42394010920795e-28,2.84019242387843,0.62,0.116,3.57821910042865e-24,"19","Cdh2"
"Pdk1",2.90591865305162e-28,3.57073981717535,0.481,0.048,7.30228298325341e-24,"19","Pdk1"
"Tfcp2l13",6.79384329535586e-28,1.74670328961706,0.405,0.052,1.70722488168997e-23,"19","Tfcp2l1"
"Sox44",9.33291175768572e-28,2.4581469248837,0.722,0.166,2.34526739558885e-23,"19","Sox4"
"Ntrk2",1.00649161269209e-27,3.15589240462431,0.367,0.026,2.52921277353394e-23,"19","Ntrk2"
"Gpr37",2.56225966096078e-27,4.4500544520221,0.354,0.018,6.43870230202835e-23,"19","Gpr37"
"Vangl2",5.21144904907218e-27,3.99801560576334,0.405,0.03,1.30958503154135e-22,"19","Vangl2"
"Gapdh2",7.03847997737606e-27,1.19958086989371,0.975,0.895,1.76869963351483e-22,"19","Gapdh"
"mt-Co35",1.22794673334244e-26,1.06613935658648,0.987,0.994,3.08570734621621e-22,"19","mt-Co3"
"P4ha1",1.87050837807711e-26,2.83658386737206,0.582,0.107,4.70040050326996e-22,"19","P4ha1"
"Oasl2",2.40026551853113e-26,2.32318274227047,0.62,0.109,6.03162722151689e-22,"19","Oasl2"
"Gng53",5.12210522667567e-26,1.32454479320528,0.937,0.723,1.28713382241133e-21,"19","Gng5"
"Dgat21",9.37686322244702e-26,3.88707525457029,0.392,0.027,2.35631195916871e-21,"19","Dgat2"
"Igf2bp2",1.58394414627803e-25,4.01127628345217,0.367,0.029,3.98029324518206e-21,"19","Igf2bp2"
"Abi3bp3",1.74005667774296e-25,1.59051651676586,0.595,0.118,4.3725884255003e-21,"19","Abi3bp"
"Slc1a4",3.34981686552031e-25,3.72511721677504,0.405,0.038,8.41775480136598e-21,"19","Slc1a4"
"Plod2",3.50145917669305e-25,3.67058647297884,0.405,0.033,8.79881676511196e-21,"19","Plod2"
"Sept114",7.46091415552124e-25,2.38949460599603,0.671,0.149,1.87485311814093e-20,"19","Sept11"
"mt-Co13",9.43900137172553e-25,1.16050708015066,1,0.998,2.37192665470091e-20,"19","mt-Co1"
"Smim224",1.7908457176671e-24,2.64228769799364,0.595,0.129,4.50021620392565e-20,"19","Smim22"
"Sdc47",1.8770188244695e-24,1.36594464222802,0.848,0.299,4.71676060400941e-20,"19","Sdc4"
"Chpt14",3.28827920322391e-24,2.08584790537464,0.671,0.15,8.26311680978136e-20,"19","Chpt1"
"Mgst32",8.56351519810655e-24,1.75468062974927,0.873,0.362,2.15192573413219e-19,"19","Mgst3"
"Fdps4",8.78441503734203e-24,2.2497087562185,0.684,0.226,2.20743565473368e-19,"19","Fdps"
"Dpysl32",1.0982675270317e-23,1.80327343802457,0.481,0.084,2.75983646867796e-19,"19","Dpysl3"
"Serpinb1a1",1.52074067175175e-23,1.63163737098093,0.506,0.098,3.82146923404497e-19,"19","Serpinb1a"
"Slc4a71",1.70807752529514e-23,2.4667055566736,0.633,0.151,4.29222801331416e-19,"19","Slc4a7"
"Ogt3",2.08570549499401e-23,1.93290248703768,0.747,0.319,5.24116933837045e-19,"19","Ogt"
"Msmo11",4.67977682061232e-23,2.66854197639306,0.57,0.12,1.17598111725167e-18,"19","Msmo1"
"St14",5.12875033115349e-23,3.52427374184458,0.405,0.039,1.28880367071556e-18,"19","St14"
"Cnn38",5.76185273790501e-23,2.10219651789381,0.709,0.195,1.44789597450815e-18,"19","Cnn3"
"mt-Nd13",7.31109556282357e-23,0.870737812246568,0.987,0.972,1.83720520398194e-18,"19","mt-Nd1"
"Gsn3",8.38652092886233e-23,0.737359212444663,0.785,0.287,2.10744884421381e-18,"19","Gsn"
"Rhod",1.21301338693805e-22,3.71563722853998,0.354,0.027,3.04818134003663e-18,"19","Rhod"
"Tmc41",1.4039296351872e-22,3.36159336835425,0.418,0.044,3.52793478026191e-18,"19","Tmc4"
"Plekha5",1.64264646213197e-22,2.93201811925848,0.481,0.087,4.12780629469142e-18,"19","Plekha5"
"B3gnt5",1.90520693437752e-22,3.49924913839237,0.367,0.03,4.78759450539728e-18,"19","B3gnt5"
"Ar",3.12216608827502e-22,2.81542262798414,0.468,0.064,7.8456911632263e-18,"19","Ar"
"Anxa17",3.48307769849873e-22,0.77429198012581,0.785,0.277,8.75262594855745e-18,"19","Anxa1"
"H2-DMb12",3.99962228028542e-22,1.12892469591095,0.544,0.141,1.00506508281292e-17,"19","H2-DMb1"
"Sp81",5.00073530914276e-22,3.75551277824271,0.354,0.034,1.25663477583448e-17,"19","Sp8"
"Idh13",5.05333899367118e-22,2.14981527241041,0.62,0.132,1.26985355571963e-17,"19","Idh1"
"Tmem47",5.30989057807459e-22,3.40917933456996,0.405,0.044,1.33432240336436e-17,"19","Tmem47"
"Fgfbp12",5.34002230985896e-22,2.64660945486659,0.456,0.062,1.34189420624446e-17,"19","Fgfbp1"
"Cldn91",5.38701601405651e-22,2.56679597807027,0.57,0.11,1.35370325417226e-17,"19","Cldn9"
"Psip13",7.17995960571076e-22,1.44003062309504,0.937,0.471,1.80425204931906e-17,"19","Psip1"
"mt-Cytb5",1.30956189092586e-21,0.791065878137293,0.987,0.983,3.2907980757076e-17,"19","mt-Cytb"
"Tacstd23",1.33221601894191e-21,2.45268735834754,0.519,0.086,3.34772563399913e-17,"19","Tacstd2"
"Fgfr12",1.33984481263248e-21,1.96769487705641,0.43,0.076,3.36689602966416e-17,"19","Fgfr1"
"Krt193",1.75540266085303e-21,0.84246116062869,0.456,0.106,4.41115134645759e-17,"19","Krt19"
"Myo1b2",2.33700715536854e-21,2.37759750204673,0.468,0.072,5.87266528072561e-17,"19","Myo1b"
"Six13",2.65469414748611e-21,2.58787501318233,0.544,0.099,6.67098092321786e-17,"19","Six1"
"Ptn4",2.91592219928021e-21,0.712531082554635,0.709,0.233,7.32742089457123e-17,"19","Ptn"
"Idh24",3.36983285335866e-21,2.287209030142,0.633,0.17,8.46805297720497e-17,"19","Idh2"
"Sult1e12",4.33473383774049e-21,2.57404895565803,0.443,0.058,1.08927526608581e-16,"19","Sult1e1"
"Parva2",7.08927595433888e-21,2.65311581019961,0.532,0.098,1.78146415456582e-16,"19","Parva"
"Suclg2",7.16325002351027e-21,2.51432019130231,0.557,0.109,1.8000530984079e-16,"19","Suclg2"
"Ddah23",8.38151120945056e-21,1.66990129375693,0.494,0.106,2.10618995182283e-16,"19","Ddah2"
"Marcks7",1.03987868761744e-20,1.05619969540872,0.886,0.379,2.61311115411386e-16,"19","Marcks"
"Chac2",1.41920458176312e-20,3.26393365371058,0.367,0.05,3.56631919351253e-16,"19","Chac2"
"Mgll3",1.70677654403079e-20,1.35090797654598,0.43,0.087,4.28895877749497e-16,"19","Mgll"
"Fgl22",2.00144543214593e-20,1.7502214547124,0.582,0.131,5.02943222643952e-16,"19","Fgl2"
"Gcnt1",2.25592844908637e-20,2.84130492157424,0.43,0.057,5.66892259970914e-16,"19","Gcnt1"
"Slc2a1",2.42335089483989e-20,1.85207679865443,0.494,0.101,6.08963846364315e-16,"19","Slc2a1"
"Six35",2.83405241400393e-20,1.52247806961244,0.532,0.127,7.12169031115047e-16,"19","Six3"
"Hmgcr1",4.10312507415413e-20,2.30613255268235,0.595,0.161,1.03107429988419e-15,"19","Hmgcr"
"Ehf6",6.02373211617839e-20,1.33714852960988,0.456,0.104,1.51370364347447e-15,"19","Ehf"
"Mical21",6.79105348092509e-20,2.72162554201777,0.494,0.088,1.70652382922166e-15,"19","Mical2"
"Tcf46",7.92231667948281e-20,1.56941482190417,0.848,0.413,1.99079895838723e-15,"19","Tcf4"
"Gpx44",1.26286530489167e-19,1.05314014047549,0.949,0.875,3.17345422466229e-15,"19","Gpx4"
"Ly75",1.3724680693694e-19,3.33197898323065,0.38,0.044,3.44887501151836e-15,"19","Ly75"
"Stk383",1.56567837677469e-19,1.64972008522994,0.81,0.315,3.93439319299712e-15,"19","Stk38"
"Efcab142",1.80906940271235e-19,2.17952963625836,0.532,0.189,4.54601050207588e-15,"19","Efcab14"
"Mapk13",1.9312109039588e-19,2.69068520794955,0.418,0.06,4.85293988055806e-15,"19","Mapk13"
"Pdia64",6.4330600962813e-19,1.61759156018992,0.81,0.377,1.61656367159453e-14,"19","Pdia6"
"Psen21",8.10118328968931e-19,1.80316370754896,0.671,0.209,2.03574634886603e-14,"19","Psen2"
"Cp",8.4215633166706e-19,2.91843263372224,0.456,0.077,2.11625464584616e-14,"19","Cp"
"Ezr8",1.74066787900689e-18,1.70382822612971,0.772,0.284,4.37412431315642e-14,"19","Ezr"
"Hk21",1.97635610035e-18,2.43119369776857,0.557,0.141,4.96638524456951e-14,"19","Hk2"
"Selenom9",2.72181021380117e-18,0.559069825744904,0.658,0.245,6.83963688626097e-14,"19","Selenom"
"Cyb5a6",5.39245683161944e-18,1.18182035346974,0.873,0.529,1.35507047721765e-13,"19","Cyb5a"
"Cdc42ep2",7.5029919043058e-18,2.94502886643231,0.392,0.052,1.885426835633e-13,"19","Cdc42ep2"
"Rida",8.72320976858968e-18,2.46100440157737,0.405,0.067,2.1920553827489e-13,"19","Rida"
"mt-Co23",1.3622521517922e-17,0.953052013624085,1,0.996,3.42320343223862e-13,"19","mt-Co2"
"Gstm24",1.36900942680102e-17,0.876330841458353,0.494,0.149,3.44018378860828e-13,"19","Gstm2"
"Papss21",1.55416811329307e-17,2.56680424037391,0.405,0.062,3.90546905189416e-13,"19","Papss2"
