"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Nr1h2",6.50000661425226e-09,0.269877330382772,0.212,0.096,0.000163338666209545,"Nr1h2"
"Inpp5d",6.50540864791421e-09,0.230372621611948,0.309,0.161,0.000163474413913436,"Inpp5d"
"Vta1",6.60706519084569e-09,0.372128905090173,0.182,0.078,0.000166028941180761,"Vta1"
"Atp6v1c1",6.69131890763877e-09,0.579915928029628,0.155,0.062,0.000168146152830055,"Atp6v1c1"
"Tox4",6.83293259448467e-09,0.265544954501845,0.28,0.141,0.000171704763166805,"Tox4"
"Nubp1",7.04764650890897e-09,0.311760083903867,0.248,0.12,0.000177100309122373,"Nubp1"
"Rin3",7.0648007996465e-09,0.48976260535854,0.201,0.091,0.000177531379294317,"Rin3"
"Sertad2",7.50417229713921e-09,0.340657766077967,0.19,0.083,0.000188572345654811,"Sertad2"
"Rasa2",7.6882069068915e-09,0.352109603151598,0.249,0.121,0.000193196951363276,"Rasa2"
"2310011J03Rik",7.72312718642714e-09,0.477206403231243,0.177,0.075,0.000194074463067728,"2310011J03Rik"
"Ikzf1",7.83527006209666e-09,0.279074907020021,0.444,0.255,0.000196892501390427,"Ikzf1"
"Grk6",7.84820440173016e-09,0.346544358840083,0.284,0.146,0.000197217528411077,"Grk6"
"Clip1",8.09688447220081e-09,0.404222368187057,0.23,0.11,0.000203466609901934,"Clip1"
"Tab2",8.12162500123105e-09,0.26706557214518,0.433,0.246,0.000204088314655935,"Tab2"
"Desi2",8.17621963541668e-09,0.420241048665826,0.202,0.091,0.000205460223218386,"Desi2"
"Atp6v0a2",8.27859843026979e-09,0.515862118450515,0.16,0.066,0.00020803289995425,"Atp6v0a2"
"Bms1",8.41888367906098e-09,0.516738324837376,0.184,0.08,0.000211558127971123,"Bms1"
"Fam53b",8.52738805930839e-09,0.282763875629164,0.211,0.096,0.000214284734542361,"Fam53b"
"Crlf3",8.72025688256405e-09,0.253503213728734,0.382,0.213,0.000219131335201952,"Crlf3"
"Nub1",9.02072319485173e-09,0.313634770656489,0.277,0.14,0.000226681753163429,"Nub1"
"Timp2",9.099949361247e-09,0.438839530336866,0.208,0.096,0.000228672627498776,"Timp2"
"Rnf115",9.32253953228391e-09,0.288611806827128,0.205,0.093,0.000234266095906762,"Rnf115"
"Tmem165",9.65447559217068e-09,0.604899968197689,0.173,0.074,0.000242607317155657,"Tmem165"
"Plscr1",9.70163299861262e-09,0.540120659476473,0.199,0.093,0.000243792335622137,"Plscr1"
"Ctdspl2",9.73777823687019e-09,0.388807630497438,0.209,0.096,0.000244700629314311,"Ctdspl2"
"1700123O20Rik",9.80446132691243e-09,0.440925448643144,0.174,0.074,0.000246376308683982,"1700123O20Rik"
"Ino80d",1.02588126311658e-08,0.289691430786785,0.21,0.096,0.000257793702608564,"Ino80d"
"Rps6",1.06809144584331e-08,-0.241349304393063,0.997,1,0.000268400699425966,"Rps6"
"Akirin2",1.06815631009287e-08,0.203669431491605,0.235,0.111,0.000268416999163238,"Akirin2"
"Dnajc2",1.07204869410671e-08,0.200916300416449,0.316,0.166,0.000269395116342076,"Dnajc2"
"Chordc1",1.08107423980062e-08,0.314232687591764,0.256,0.127,0.000271663145719497,"Chordc1"
"Man2a1",1.10910149233638e-08,0.592908706420665,0.166,0.07,0.00027870611400921,"Man2a1"
"Ppp4r3a",1.14488527961141e-08,0.205318700203871,0.263,0.13,0.000287698221913552,"Ppp4r3a"
"Senp2",1.14973946225515e-08,0.244438935605999,0.235,0.112,0.000288918029470096,"Senp2"
"Zfp292",1.2090308663142e-08,0.259642682655141,0.455,0.261,0.000303817366396094,"Zfp292"
"Usf2",1.21154926633877e-08,0.230940873283334,0.254,0.125,0.000304450215138269,"Usf2"
"Rfx7",1.2307326694423e-08,0.391920578547779,0.241,0.119,0.000309270812504156,"Rfx7"
"Tnfrsf1b",1.23651345327202e-08,0.258878916262272,0.255,0.127,0.000310723465672726,"Tnfrsf1b"
"Vti1b",1.24363947721147e-08,0.288152795172937,0.231,0.11,0.00031251416422847,"Vti1b"
"Itgb1bp1",1.2551269243222e-08,0.36050151854844,0.202,0.093,0.000315400844812925,"Itgb1bp1"
"Med10",1.25917826372334e-08,0.2884266094342,0.285,0.147,0.000316418905891038,"Med10"
"Uqcrq",1.2613963896954e-08,-0.370396505654376,0.696,0.738,0.000316976298766558,"Uqcrq"
"Mrpl21",1.26222791483537e-08,0.211721414184425,0.276,0.138,0.000317185252718981,"Mrpl21"
"Scamp3",1.28605743606037e-08,0.211875875772251,0.274,0.138,0.000323173373107611,"Scamp3"
"Dusp2",1.29343948417443e-08,0.505712168098466,0.453,0.286,0.000325028407978191,"Dusp2"
"Mllt6",1.29970399551475e-08,0.330316865215774,0.205,0.094,0.000326602617032901,"Mllt6"
"Cdc123",1.31108236837428e-08,0.211997296027412,0.212,0.098,0.000329461888348774,"Cdc123"
"Prdm2",1.3185178302495e-08,0.336873535757251,0.209,0.098,0.000331330345563398,"Prdm2"
"Agfg1",1.32399663981128e-08,0.212373793215068,0.25,0.124,0.000332707115618176,"Agfg1"
"Dok2",1.32652228595505e-08,0.262421329421736,0.276,0.142,0.000333341785237645,"Dok2"
"Vezf1",1.32893007005704e-08,0.256056929338675,0.237,0.115,0.000333946837304633,"Vezf1"
"B230307C23Rik",1.33422679743934e-08,0.387520973762272,0.205,0.094,0.000335277851928531,"B230307C23Rik"
"Chtop",1.34827649738431e-08,0.329656702256602,0.238,0.116,0.000338808401027703,"Chtop"
"Polr2b",1.35890581617877e-08,0.375388386736683,0.191,0.085,0.000341479442547562,"Polr2b"
"Taok1",1.37334197387841e-08,0.388332706875508,0.233,0.112,0.000345107104615906,"Taok1"
"Dmxl1",1.3849161781149e-08,0.362737120939209,0.197,0.089,0.000348015586398492,"Dmxl1"
"Reep3",1.40166481232625e-08,0.433723940050035,0.153,0.062,0.000352224350689463,"Reep3"
"Csnk1g1",1.40394694976589e-08,0.386344425708011,0.189,0.084,0.000352797829006669,"Csnk1g1"
"Gsap",1.40922106912816e-08,0.679556007812287,0.153,0.063,0.000354123162461214,"Gsap"
"Prpf39",1.4248311095704e-08,0.313509607341063,0.183,0.08,0.000358045809523947,"Prpf39"
"Nup88",1.45022181420552e-08,0.414585789564728,0.159,0.066,0.000364426239691706,"Nup88"
"Atp5b",1.45419241886982e-08,-0.331984049603272,0.8,0.878,0.000365424012937796,"Atp5b"
"Cox7a2",1.45534326523212e-08,-0.373663864216714,0.781,0.849,0.00036571320912018,"Cox7a2"
"Anxa5",1.46069297117609e-08,-0.88239961960711,0.245,0.335,0.00036705753672684,"Anxa5"
"Scaf8",1.4650399019556e-08,0.34111633344606,0.193,0.087,0.000368149876962423,"Scaf8"
